,Movie,Year,Time,IMDB Rating,Film Rating,Metascore,Votes,US Gross Millions,Director,Genres,Description,Actors
299,The Hidden Fortress,1958,126,8.1,Not Rated,-,34197,-,Akira Kurosawa,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara"
302,Throne of Blood,1957,110,8.1,Not Rated,-,46023,-,Akira Kurosawa,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.","Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura"
413,Kagemusha,1980,162,8.0,PG,84        ,31845,-,Akira Kurosawa,"Drama, History, War",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"
2,The Dark Knight,2008,152,9.0,PG-13,84        ,2277601,534.86,Christopher Nolan,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
8,Inception,2010,148,8.8,PG-13,74        ,2040183,292.58,Christopher Nolan,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
21,Interstellar,2014,169,8.6,PG-13,74        ,1485572,188.02,Christopher Nolan,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
37,The Prestige,2006,130,8.5,PG-13,66        ,1175203,53.09,Christopher Nolan,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
63,The Dark Knight Rises,2012,164,8.4,PG-13,78        ,1501202,448.14,Christopher Nolan,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
69,Memento,2000,113,8.4,R,80        ,1114668,25.54,Christopher Nolan,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
156,Batman Begins,2005,140,8.2,PG-13,70        ,1295584,206.85,Christopher Nolan,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
469,Dunkirk,2017,106,7.9,PG-13,94        ,544977,188.37,Christopher Nolan,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
716,Tenet,2020,150,7.7,PG-13,69        ,181303,53.80,Christopher Nolan,"Action, Sci-Fi","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
6,Pulp Fiction,1994,154,8.9,R,94        ,1806442,107.93,Quentin Tarantino,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
62,Django Unchained,2012,165,8.4,R,81        ,1340193,162.81,Quentin Tarantino,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
94,Inglourious Basterds,2009,153,8.3,R,69        ,1251045,120.54,Quentin Tarantino,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
104,Reservoir Dogs,1992,99,8.3,R,79        ,909225,2.83,Quentin Tarantino,"Crime, Drama, Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
241,Kill Bill: Vol. 1,2003,111,8.1,R,69        ,990671,70.10,Quentin Tarantino,"Action, Crime, Thriller","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
369,Kill Bill: Vol. 2,2004,137,8.0,R,83        ,677473,66.21,Quentin Tarantino,"Action, Crime, Thriller","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah"
582,The Hateful Eight,2015,168,7.8,R,68        ,508711,54.12,Quentin Tarantino,"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
874,Once Upon a Time... In Hollywood,2019,161,7.6,R,83        ,533772,142.50,Quentin Tarantino,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
